S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
1377,ITQ20210211,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,26/12/2021,GreenLine Building Experts," $62,306.00 "
1378,ITQ20210212,ITQ,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,28/12/2021,UrbanGuard Facilities," $41,994.00 "
1379,ITQ20210213,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,30/12/2021,GreenLine Building Experts," $77,961.00 "
1380,ITQ20220001,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,5/1/2022,InfiniteCare Property Services," $85,396.00 "
1381,ITQ20220002,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,5/1/2022,EverPro Property Support," $92,463.00 "
1382,ITQ20220003,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,8/1/2022,EverReach Property Care," $55,791.00 "
1383,ITQ20220004,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,9/1/2022,SilverTech Facilities Masters," $47,866.00 "
1384,ITQ20220005,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,22/1/2022,Reliable Facility Services," $73,213.00 "
1385,ITQ20220006,ITQ,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,25/1/2022,GrandEdge Property Solutions," $65,950.00 "
1386,ITQ20220007,ITQ,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,28/1/2022,TrustMax Facilities Masters," $23,996.00 "
1387,ITQ20220008,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,31/1/2022,ApexGuard Facility Services," $78,624.00 "
1388,ITQ20220009,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,1/2/2022,GreenLine Building Experts," $89,884.00 "
1389,ITQ20220010,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,2/2/2022,GoldenHarbor Management," $60,155.00 "
1390,ITQ20220011,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,4/2/2022,UnitedPro Property Services," $16,372.00 "
1391,ITQ20220012,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,4/2/2022,TrustEdge Building Maintenance," $81,588.00 "
1392,ITQ20220013,ITQ,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,7/2/2022,SecureReach Property Care," $8,069.00 "
1393,ITQ20220014,ITQ,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,11/2/2022,BlueSail Property Experts," $33,434.00 "
1394,ITQ20220015,ITQ,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,11/2/2022,MaxPro Building Services," $77,989.00 "
1395,ITQ20220016,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,17/2/2022,EverPrime Property Management," $38,977.00 "
1396,ITQ20220017,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,18/2/2022,SwiftSail Building Solutions," $87,362.00 "
1397,ITQ20220018,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,21/2/2022,SkyStone Property Solutions," $23,135.00 "
1398,ITQ20220019,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,22/2/2022,GreenLine Building Experts," $73,419.00 "
1399,ITQ20220020,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,26/2/2022,StarStone Facility Services," $32,212.00 "
1400,ITQ20220021,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,27/2/2022,CleanSweep Property Management," $64,888.00 "
1401,ITQ20220022,ITQ,National Institute of Scientific Advancement,24/7 security and access control management.,3/3/2022,SilverTech Facilities Masters," $85,104.00 "
1402,ITQ20220023,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,7/3/2022,EliteCare Facility Support," $99,398.00 "
1403,ITQ20220024,ITQ,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,8/3/2022,SecureSpace Management," $33,999.00 "
1404,ITQ20220025,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,15/3/2022,InfiniteGuard Building Care," $97,033.00 "
1405,ITQ20220026,ITQ,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,16/3/2022,StarStone Facility Services," $33,526.00 "
1406,ITQ20220027,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,16/3/2022,StarStone Facility Services," $67,682.00 "
1407,ITQ20220028,ITQ,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,19/3/2022,GrandPro Facilities Support," $82,329.00 "
1408,ITQ20220029,ITQ,Department of Advanced Technological Research,Health and safety compliance management and training.,20/3/2022,FreshWave Property Support," $91,116.00 "
1409,ITQ20220030,ITQ,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,21/3/2022,FreshWave Property Support," $44,709.00 "
1410,ITQ20220031,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,21/3/2022,SwiftCrest Property Management," $66,635.00 "
1411,ITQ20220032,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,25/3/2022,HorizonStone Facility Services," $72,760.00 "
1412,ITQ20220033,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,27/3/2022,InfiniteGuard Building Care," $50,320.00 "
1413,ITQ20220034,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,11/4/2022,SkyHarbor Facility Experts," $66,119.00 "
1414,ITQ20220035,ITQ,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,11/4/2022,GreenWave Facilities Management," $90,388.00 "
1415,ITQ20220036,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,15/4/2022,EliteCare Facility Support," $61,082.00 "
1416,ITQ20220037,ITQ,Bureau of National Security and Intelligence,Space planning and utilization optimization strategies.,21/4/2022,ApexGuard Facility Services," $65,328.00 "
1417,ITQ20220038,ITQ,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,30/4/2022,UrbanEagle Maintenance," $77,216.00 "
1418,ITQ20220039,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,6/5/2022,GreenPrime Facilities Group," $44,036.00 "
1419,ITQ20220040,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient systems and consumption monitoring.,27/5/2022,CleanReach Facility Experts," $21,935.00 "
1420,ITQ20220041,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,27/5/2022,InfiniteGuard Building Care," $55,125.00 "
1421,ITQ20220042,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,5/6/2022,Reliable Facility Services," $38,694.00 "
1422,ITQ20220043,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,25/6/2022,TrustPro Building Maintenance," $38,822.00 "
1423,ITQ20220044,ITQ,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,26/6/2022,GreenCrest Facilities Group," $47,703.00 "
1424,ITQ20220045,ITQ,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,1/7/2022,SafeReach Property Solutions," $42,173.00 "
1425,ITQ20220046,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,10/7/2022,SwiftSail Building Solutions," $71,420.00 "
1426,ITQ20220047,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,13/7/2022,Reliable Facility Services," $32,107.00 "
1427,ITQ20220048,ITQ,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,18/7/2022,AlphaTech Facilities Management," $37,340.00 "
1428,ITQ20220049,ITQ,Institute for Social Justice and Equality,Parking management and traffic control solutions.,25/7/2022,HorizonPro Facility Management," $26,893.00 "
1429,ITQ20220050,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,13/8/2022,UrbanEagle Maintenance," $33,757.00 "
1430,ITQ20220051,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,13/8/2022,StarStone Facility Services," $35,089.00 "
1431,ITQ20220052,ITQ,Federal Agency for Environmental Protection,Indoor air quality monitoring and improvement measures.,15/8/2022,SafeEdge Property Care," $27,952.00 "
1432,ITQ20220053,ITQ,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,15/8/2022,GoldenGate Facility Masters," $56,694.00 "
1433,ITQ20220054,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,15/8/2022,TrueNorth Facility Solutions," $85,112.00 "
1434,ITQ20220055,ITQ,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,16/8/2022,GreenEdge Facility Masters," $73,064.00 "
1435,ITQ20220056,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,25/9/2022,GrandReach Facility Care," $73,089.00 "
1436,ITQ20220057,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,28/9/2022,EliteTech Property Support," $33,661.00 "
1437,ITQ20220058,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,8/10/2022,SilverStone Management," $98,907.00 "
1438,ITQ20220059,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,12/10/2022,GreenWave Facilities Management," $87,441.00 "
1439,ITQ20220060,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,24/10/2022,SkyHigh Property Management," $15,741.00 "
1440,ITQ20220061,ITQ,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,25/10/2022,BlueCrest Facility Support," $41,539.00 "
1441,ITQ20220062,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,26/10/2022,StarHarbor Facilities Group," $31,443.00 "
1442,ITQ20220063,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,3/11/2022,TrueView Management," $88,653.00 "
1443,ITQ20220064,ITQ,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,8/11/2022,HorizonHarbor Property Services," $61,259.00 "
1444,ITQ20220065,ITQ,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,15/11/2022,SwiftCrest Property Management," $80,313.00 "
1445,ITQ20220066,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2/12/2022,HighPoint Property Care," $26,692.00 "
1446,ITT20170001,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,4/1/2017,TrustMax Facilities Masters," $496,066.00 "
1447,ITT20170002,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,4/1/2017,SafeEdge Property Care," $518,384.00 "
1448,ITT20170003,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,5/1/2017,AlphaCrest Property Support," $262,825.00 "
1449,ITT20170004,ITT,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,6/1/2017,InfiniteGuard Building Care," $442,783.00 "
1450,ITT20170005,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,7/1/2017,SafeReach Property Solutions," $229,154.00 "
1451,ITT20170006,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,8/1/2017,SafeTech Maintenance," $206,863.00 "
1452,ITT20170007,ITT,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,8/1/2017,Reliable Facility Services," $455,875.00 "
1453,ITT20170008,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,10/1/2017,GrandView Facilities Group," $149,237.00 "
1454,ITT20170009,ITT,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,12/1/2017,InfiniteGuard Building Care," $179,796.00 "
1455,ITT20170010,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,13/1/2017,InfiniteCare Property Services," $155,501.00 "
1456,ITT20170011,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,13/1/2017,TrustEdge Building Maintenance," $254,404.00 "
1457,ITT20170012,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,13/1/2017,SwiftGuard Management," $352,620.00 "
1458,ITT20170013,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,14/1/2017,VisionQuest Facility Care," $139,288.00 "
1459,ITT20170014,ITT,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,14/1/2017,AlphaStone Property Support," $185,615.00 "
1460,ITT20170015,ITT,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,14/1/2017,FreshStart Building Solutions," $256,425.00 "
1461,ITT20170016,ITT,Commission for Ethical Governance,Building maintenance and repairs.,15/1/2017,SecureReach Property Care," $104,815.00 "
1462,ITT20170017,ITT,Federal Agency for Environmental Protection,Furniture and equipment maintenance and inventory tracking.,15/1/2017,Xtreme Maintenance," $143,770.00 "
1463,ITT20170018,ITT,Department of Energy Conservation and Sustainability,Building maintenance and repairs.,15/1/2017,GrandTech Building Solutions," $145,902.00 "
1464,ITT20170019,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,15/1/2017,UrbanTech Management," $456,304.00 "
1465,ITT20170020,ITT,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,16/1/2017,BlueBreeze Facility Solutions," $169,414.00 "
1466,ITT20170021,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,16/1/2017,SwiftSail Building Solutions," $195,037.00 "
1467,ITT20170022,ITT,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,16/1/2017,GrandPro Facilities Support," $277,677.00 "
1468,ITT20170023,ITT,Commission for Ethical Governance,Building maintenance and repairs.,16/1/2017,InfinitePro Facility Care," $308,501.00 "
1469,ITT20170024,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,16/1/2017,TrueWave Facilities Management," $323,709.00 "
1470,ITT20170025,ITT,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,16/1/2017,Xtreme Maintenance," $449,458.00 "
1471,ITT20170026,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,17/1/2017,BlueCrest Facility Support," $284,329.00 "
1472,ITT20170027,ITT,Federal Agency for Environmental Protection,Building automation and smart technology integration.,18/1/2017,SwiftReach Building Maintenance," $218,378.00 "
1473,ITT20170028,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,18/1/2017,UnitedPro Property Services," $320,214.00 "
1474,ITT20170029,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,18/1/2017,TruePro Building Experts," $420,224.00 "
1475,ITT20170030,ITT,Department of Energy Conservation and Sustainability,24/7 security and access control management.,18/1/2017,StarStone Facility Services," $433,439.00 "
1476,ITT20170031,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,18/1/2017,InfiniteTech Building Solutions," $457,314.00 "
1477,ITT20170032,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,19/1/2017,GrandReach Facility Care," $226,127.00 "
1478,ITT20170033,ITT,National Institute of Scientific Advancement,Parking management and traffic control solutions.,19/1/2017,UrbanEdge Maintenance," $349,220.00 "
1479,ITT20170034,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,19/1/2017,AlphaWave Property Solutions," $706,593.00 "
1480,ITT20170035,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,20/1/2017,HorizonHarbor Property Services," $103,607.00 "
1481,ITT20170036,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,20/1/2017,InfiniteGuard Building Care," $308,380.00 "
1482,ITT20170037,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,20/1/2017,InfiniteSpace Building Solutions," $390,846.00 "
1483,ITT20170038,ITT,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,20/1/2017,FreshTech Management," $442,680.00 "
1484,ITT20170039,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,21/1/2017,InfiniteGuard Building Care," $205,894.00 "
1485,ITT20170040,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,21/1/2017,HorizonHarbor Property Services," $224,505.00 "
1486,ITT20170041,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,21/1/2017,AlphaStone Property Support," $447,151.00 "
1487,ITT20170042,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,21/1/2017,EverGreen Property Support," $460,521.00 "
1488,ITT20170043,ITT,Office of Public Safety and Emergency Management,Fire safety system installation and maintenance.,21/1/2017,UrbanTech Management," $540,716.00 "
1489,ITT20170044,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,22/1/2017,SecureReach Property Care," $219,487.00 "
1490,ITT20170045,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,22/1/2017,SilverTech Facilities Masters," $324,588.00 "
1491,ITT20170046,ITT,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,22/1/2017,SilverStone Management," $388,068.00 "
1492,ITT20170047,ITT,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,22/1/2017,AlphaCrest Property Support," $397,169.00 "
1493,ITT20170048,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,23/1/2017,GreenPrime Facilities Group," $184,378.00 "
1494,ITT20170049,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,23/1/2017,TrustPro Building Maintenance," $247,665.00 "
1495,ITT20170050,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,23/1/2017,SwiftTech Facility Solutions," $385,888.00 "
1496,ITT20170051,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,24/1/2017,SwiftCrest Property Management," $246,412.00 "
1497,ITT20170052,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,24/1/2017,SkyStone Property Solutions," $318,890.00 "
1498,ITT20170053,ITT,Commission for Ethical Governance,Waste management and recycling program implementation.,24/1/2017,EliteTech Property Support," $346,300.00 "
1499,ITT20170054,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,24/1/2017,SwiftTech Facility Solutions," $360,130.00 "
1500,ITT20170055,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,24/1/2017,GoldenReach Property Management," $537,513.00 "
1501,ITT20170056,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,25/1/2017,HorizonView Property Management," $138,231.00 "
1502,ITT20170057,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,25/1/2017,Reliable Facility Services," $153,398.00 "
1503,ITT20170058,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,25/1/2017,UrbanGuard Facilities," $177,896.00 "
1504,ITT20170059,ITT,Bureau of National Security and Intelligence,Health and safety compliance management and training.,25/1/2017,AlphaTech Facilities Management," $296,887.00 "
1505,ITT20170060,ITT,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,25/1/2017,EverPrime Property Management," $419,984.00 "
1506,ITT20170061,ITT,National Institute of Scientific Advancement,Waste management and recycling program implementation.,26/1/2017,InfiniteTech Building Solutions," $227,024.00 "
1507,ITT20170062,ITT,Department of Advanced Technological Research,Tenant communication and customer service assistance.,26/1/2017,SkyHigh Property Management," $253,370.00 "
1508,ITT20170063,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,26/1/2017,InfiniteGuard Building Care," $370,531.00 "
1509,ITT20170064,ITT,National Cybersecurity Task Force,Tenant communication and customer service assistance.,27/1/2017,AlphaStone Property Support," $139,395.00 "
1510,ITT20170065,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,27/1/2017,EliteReach Building Solutions," $176,550.00 "
1511,ITT20170066,ITT,Agency for Cultural Preservation and Heritage,Emergency response and disaster recovery planning.,27/1/2017,FreshStart Building Solutions," $352,148.00 "
1512,ITT20170067,ITT,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,28/1/2017,GreenWave Facilities Management," $184,623.00 "
1513,ITT20170068,ITT,National Commission for Space Exploration,Space planning and utilization optimization strategies.,28/1/2017,TrustMax Facilities Masters," $417,143.00 "
1514,ITT20170069,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,29/1/2017,HorizonHarbor Property Services," $275,675.00 "
1515,ITT20170070,ITT,National Commission for Space Exploration,Indoor air quality monitoring and improvement measures.,29/1/2017,SecureSpace Management," $302,883.00 "
1516,ITT20170071,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,29/1/2017,HighTech Facilities Group," $324,358.00 "
1517,ITT20170072,ITT,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,29/1/2017,SafeHarbor Facilities Group," $325,903.00 "
1518,ITT20170073,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,29/1/2017,Reliable Facility Services," $539,473.00 "
1519,ITT20170074,ITT,Department of Energy Conservation and Sustainability,Pest control services for a pest-free environment.,30/1/2017,VisionQuest Facility Care," $192,022.00 "
1520,ITT20170075,ITT,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,30/1/2017,EliteEdge Facilities Group," $234,146.00 "
1521,ITT20170076,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,30/1/2017,SkyHigh Property Management," $294,937.00 "
1522,ITT20170077,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,30/1/2017,SilverLine Facility Experts," $323,073.00 "
1523,ITT20170078,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,30/1/2017,InfiniteTech Building Solutions," $389,339.00 "
1524,ITT20170079,ITT,National Commission for Space Exploration,Fire safety system installation and maintenance.,30/1/2017,HorizonHarbor Property Services," $391,394.00 "
1525,ITT20170080,ITT,National Institute of Scientific Advancement,Comprehensive janitorial services and cleanliness maintenance.,30/1/2017,BlueBreeze Facility Solutions," $424,195.00 "
1526,ITT20170081,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,30/1/2017,VisionQuest Facility Care," $453,857.00 "
1527,ITT20170082,ITT,Commission for Ethical Governance,24/7 security and access control management.,30/1/2017,SafeHaven Maintenance," $457,302.00 "
1528,ITT20170083,ITT,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,30/1/2017,SafeTech Maintenance," $561,535.00 "
1529,ITT20170084,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,31/1/2017,EliteEdge Facilities Group," $184,828.00 "
1530,ITT20170085,ITT,Bureau of Urban Development and Infrastructure,Indoor air quality monitoring and improvement measures.,31/1/2017,GrandPro Facilities Support," $267,156.00 "
1531,ITT20170086,ITT,Department of Public Health and Disease Control,Pest control services for a pest-free environment.,31/1/2017,SecurePrime Management," $271,851.00 "
1532,ITT20170087,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,31/1/2017,InfiniteGuard Building Care," $350,662.00 "
1533,ITT20170088,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,31/1/2017,TrustPro Building Maintenance," $457,208.00 "
1534,ITT20170089,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,31/1/2017,EverPrime Property Management," $496,121.00 "
1535,ITT20170090,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,31/1/2017,BlueSky Property Care," $516,190.00 "
1536,ITT20170091,ITT,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,1/2/2017,TrueWave Facilities Management," $106,829.00 "
1537,ITT20170092,ITT,Office of Public Safety and Emergency Management,Building automation and smart technology integration.,1/2/2017,AlphaPro Facility Solutions," $124,560.00 "
1538,ITT20170093,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,1/2/2017,Xtreme Maintenance," $296,906.00 "
1539,ITT20170094,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,1/2/2017,TrueNorth Facility Solutions," $369,591.00 "
1540,ITT20170095,ITT,Department of Energy Conservation and Sustainability,Waste management and recycling program implementation.,1/2/2017,GrandView Facilities Group," $435,945.00 "
1541,ITT20170096,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,1/2/2017,TrustEdge Building Maintenance," $603,849.00 "
1542,ITT20170097,ITT,National Commission for Space Exploration,Building maintenance and repairs.,2/2/2017,SecureSpace Management," $160,800.00 "
1543,ITT20170098,ITT,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,3/2/2017,BlueSail Property Experts," $109,800.00 "
1544,ITT20170099,ITT,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,3/2/2017,SilverReach Facility Services," $136,781.00 "
1545,ITT20170100,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,3/2/2017,HorizonHarbor Property Services," $143,745.00 "
1546,ITT20170101,ITT,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,3/2/2017,SwiftCrest Property Management," $248,629.00 "
1547,ITT20170102,ITT,Federal Agency for Environmental Protection,Furniture and equipment maintenance and inventory tracking.,3/2/2017,HighWave Building Solutions," $302,942.00 "
1548,ITT20170103,ITT,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,3/2/2017,SafeHarbor Facilities Group," $416,021.00 "
1549,ITT20170104,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,4/2/2017,FreshStart Building Solutions," $170,158.00 "
1550,ITT20170105,ITT,National Institute of Scientific Advancement,Space planning and utilization optimization strategies.,4/2/2017,FreshEdge Facility Support," $181,559.00 "
1551,ITT20170106,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,4/2/2017,BlueCrest Facility Support," $195,594.00 "
1552,ITT20170107,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,4/2/2017,EliteEdge Facilities Group," $386,284.00 "
1553,ITT20170108,ITT,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,4/2/2017,SecureTech Building Solutions," $445,407.00 "
1554,ITT20170109,ITT,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,5/2/2017,SecureSpace Management," $134,689.00 "
1555,ITT20170110,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,5/2/2017,BlueSail Property Experts," $237,320.00 "
1556,ITT20170111,ITT,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,5/2/2017,UrbanEagle Maintenance," $278,903.00 "
1557,ITT20170112,ITT,National Commission for Space Exploration,Emergency response and disaster recovery planning.,5/2/2017,GoldenTech Maintenance," $536,414.00 "
1558,ITT20170113,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,6/2/2017,SkyHigh Property Management," $108,902.00 "
1559,ITT20170114,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,6/2/2017,SafeHaven Maintenance," $279,024.00 "
1560,ITT20170115,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,6/2/2017,GreenLine Building Experts," $445,651.00 "
1561,ITT20170116,ITT,National Cybersecurity Task Force,Waste management and recycling program implementation.,7/2/2017,GoldenStar Property Care," $133,152.00 "
1562,ITT20170117,ITT,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,7/2/2017,FreshEdge Facility Support," $163,472.00 "
1563,ITT20170118,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,7/2/2017,GoldenReach Property Management," $357,018.00 "
1564,ITT20170119,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,8/2/2017,TrustEdge Building Maintenance," $141,731.00 "
1565,ITT20170120,ITT,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,8/2/2017,SkyHarbor Facility Experts," $280,676.00 "
