S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
1225,ITQ20210059,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2021-03-25,GrandPro Facilities Support,82472
1226,ITQ20210060,ITQ,Commission for Ethical Governance,Building automation and smart technology integration.,2021-03-26,AlphaPro Facility Solutions,13821
1227,ITQ20210061,ITQ,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,2021-03-27,EliteTech Property Support,20572
1228,ITQ20210062,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2021-03-27,FreshStart Building Solutions,68661
1229,ITQ20210063,ITQ,Agency for Cultural Preservation and Heritage,Emergency response and disaster recovery planning.,2021-03-28,SkyHigh Property Management,99752
1230,ITQ20210064,ITQ,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2021-04-06,GreenEdge Facility Masters,27954
1231,ITQ20210065,ITQ,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,2021-04-13,BlueCrest Facility Support,24241
1232,ITQ20210066,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2021-04-14,FreshStart Building Solutions,63325
1233,ITQ20210067,ITQ,Federal Agency for Environmental Protection,Health and safety compliance management and training.,2021-04-15,Xtreme Maintenance,35218
1234,ITQ20210068,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-04-15,ApexGuard Facility Services,80963
1235,ITQ20210069,ITQ,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,2021-04-17,InfiniteSpace Building Solutions,52253
1236,ITQ20210070,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2021-04-17,TrustMax Facilities Masters,78367
1237,ITQ20210071,ITQ,National Commission for Space Exploration,Tenant communication and customer service assistance.,2021-04-22,SecureSpace Management,13161
1238,ITQ20210072,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2021-04-22,UrbanTech Management,54427
1239,ITQ20210073,ITQ,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,2021-04-22,SilverStone Management,78637
1240,ITQ20210074,ITQ,Department of Advanced Technological Research,Building maintenance and repairs.,2021-04-23,SafeTech Maintenance,80685
1241,ITQ20210075,ITQ,National Commission for Space Exploration,Health and safety compliance management and training.,2021-04-24,SecureSpace Management,83169
1242,ITQ20210076,ITQ,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,2021-04-30,InfiniteGuard Building Care,84513
1243,ITQ20210077,ITQ,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,2021-05-02,HorizonView Property Management,15824
1244,ITQ20210078,ITQ,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2021-05-04,HorizonPro Facility Management,15698
1245,ITQ20210079,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,2021-05-07,InfiniteSpace Building Solutions,29198
1246,ITQ20210080,ITQ,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,2021-05-10,GoldenHarbor Management,73916
1247,ITQ20210081,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-05-10,SilverReach Facility Services,74928
1248,ITQ20210082,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-05-14,SilverTech Facilities Masters,84053
1249,ITQ20210083,ITQ,Institute for Social Justice and Equality,Renovation and remodeling project management.,2021-05-15,CleanReach Facility Experts,39218
1250,ITQ20210084,ITQ,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,2021-05-15,GrandView Facilities Group,79976
1251,ITQ20210085,ITQ,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,2021-05-22,GreenWave Facilities Management,28166
1252,ITQ20210086,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-05-22,StarCrest Facility Services,43227
1253,ITQ20210087,ITQ,National Institute of Scientific Advancement,HVAC system maintenance and climate control optimization.,2021-05-22,ApexGuard Facility Services,69392
1254,ITQ20210088,ITQ,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,2021-05-23,TruePro Building Experts,24679
1255,ITQ20210089,ITQ,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,2021-05-27,BlueSail Property Experts,47171
1256,ITQ20210090,ITQ,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2021-05-27,Reliable Facility Services,94522
1257,ITQ20210091,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2021-05-28,UrbanEagle Maintenance,58565
1258,ITQ20210092,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2021-05-29,AlphaPro Facility Solutions,18277
1259,ITQ20210093,ITQ,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,2021-05-29,GreenCrest Facilities Group,32756
1260,ITQ20210094,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2021-05-31,SwiftCrest Property Management,95283
1261,ITQ20210095,ITQ,Department of Public Health and Disease Control,24/7 security and access control management.,2021-06-02,TrueWave Facilities Management,20414
1262,ITQ20210096,ITQ,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2021-06-02,SilverReach Facility Services,51091
1263,ITQ20210097,ITQ,Bureau of National Security and Intelligence,Comprehensive janitorial services and cleanliness maintenance.,2021-06-03,SecureReach Property Care,11068
1264,ITQ20210098,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2021-06-06,TrustPro Building Maintenance,12816
1265,ITQ20210099,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2021-06-07,SecureSpace Management,64195
1266,ITQ20210100,ITQ,Bureau of National Security and Intelligence,Pest control services for a pest-free environment.,2021-06-07,SafeHaven Maintenance,68425
1267,ITQ20210101,ITQ,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2021-06-08,GoldenHarbor Management,15471
1268,ITQ20210102,ITQ,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,2021-06-10,EliteEdge Facilities Group,59625
1269,ITQ20210103,ITQ,Commission for Ethical Governance,Parking management and traffic control solutions.,2021-06-10,UrbanReach Facility Support,74673
1270,ITQ20210104,ITQ,Bureau of Urban Development and Infrastructure,Energy-efficient systems and consumption monitoring.,2021-06-12,BlueSky Property Care,56560
1271,ITQ20210105,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2021-06-14,UrbanTech Management,45669
1272,ITQ20210106,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2021-06-14,InfiniteTech Building Solutions,94536
1273,ITQ20210107,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2021-06-19,TrueNorth Facility Solutions,75714
1274,ITQ20210108,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-06-21,CleanHarbor Facility Care,53155
1275,ITQ20210109,ITQ,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2021-06-22,AlphaTech Facilities Management,73656
1276,ITQ20210110,ITQ,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,2021-06-23,UrbanTech Management,34662
1277,ITQ20210111,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2021-06-24,StarStone Facility Services,43490
1278,ITQ20210112,ITQ,Office of International Relations and Diplomatic Affairs,Renovation and remodeling project management.,2021-06-27,TrueView Management,33291
1279,ITQ20210113,ITQ,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,2021-06-27,UrbanReach Facility Support,71886
1280,ITQ20210114,ITQ,Office of Public Safety and Emergency Management,Waste management and recycling program implementation.,2021-06-28,EverPrime Property Management,14380
1281,ITQ20210115,ITQ,Ministry of Strategic Economic Planning,Space planning and utilization optimization strategies.,2021-06-29,SilverLine Facility Experts,62421
1282,ITQ20210116,ITQ,Federal Agency for Environmental Protection,Indoor air quality monitoring and improvement measures.,2021-06-30,Reliable Facility Services,24759
1283,ITQ20210117,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2021-07-01,VisionQuest Facility Care,68356
1284,ITQ20210118,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2021-07-03,InfiniteGuard Building Care,36511
1285,ITQ20210119,ITQ,National Institute of Scientific Advancement,Health and safety compliance management and training.,2021-07-05,SwiftCrest Property Management,58337
1286,ITQ20210120,ITQ,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2021-07-10,StarTech Facility Solutions,40564
1287,ITQ20210121,ITQ,Ministry of Strategic Economic Planning,Parking management and traffic control solutions.,2021-07-11,BlueCrest Facility Support,97611
1288,ITQ20210122,ITQ,Office of Public Safety and Emergency Management,24/7 security and access control management.,2021-07-12,StarStone Facility Services,95192
1289,ITQ20210123,ITQ,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,2021-07-12,TrueWave Facilities Management,96825
1290,ITQ20210124,ITQ,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2021-07-13,BlueSail Property Experts,42219
1291,ITQ20210125,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2021-07-14,BlueBreeze Facility Solutions,95622
1292,ITQ20210126,ITQ,Bureau of Urban Development and Infrastructure,Tenant communication and customer service assistance.,2021-07-15,SkyStone Property Solutions,23982
1293,ITQ20210127,ITQ,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,2021-07-15,InfiniteSpace Building Solutions,35202
1294,ITQ20210128,ITQ,National Cybersecurity Task Force,Expert landscaping and groundskeeping solutions.,2021-07-15,SecureReach Property Care,64683
1295,ITQ20210129,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-07-16,EverPrime Property Management,47090
1296,ITQ20210130,ITQ,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,2021-07-17,FreshStart Building Solutions,58916
1297,ITQ20210131,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,2021-07-18,GoldenHarbor Management,68050
1298,ITQ20210132,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2021-07-20,AlphaCrest Property Support,61974
1299,ITQ20210133,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2021-07-21,StarHarbor Facilities Group,95853
1300,ITQ20210134,ITQ,Department of Public Health and Disease Control,Fire safety system installation and maintenance.,2021-08-01,EverPro Property Support,33863
1301,ITQ20210135,ITQ,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,2021-08-01,ApexGuard Facility Services,35023
1302,ITQ20210136,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2021-08-08,GrandEdge Property Solutions,13725
1303,ITQ20210137,ITQ,National Cybersecurity Task Force,Parking management and traffic control solutions.,2021-08-11,UrbanTech Management,78037
1304,ITQ20210138,ITQ,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-08-12,InfiniteSpace Building Solutions,49138
1305,ITQ20210139,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2021-08-13,UrbanEagle Maintenance,36423
1306,ITQ20210140,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2021-08-14,TrustGuard Facilities,51942
1307,ITQ20210141,ITQ,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2021-08-14,SecureTech Building Solutions,95162
1308,ITQ20210142,ITQ,Institute for Social Justice and Equality,Building automation and smart technology integration.,2021-08-16,GreenWave Facilities Management,21116
1309,ITQ20210143,ITQ,Bureau of National Security and Intelligence,Waste management and recycling program implementation.,2021-08-16,SwiftCrest Property Management,89102
1310,ITQ20210144,ITQ,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,2021-08-17,SecurePrime Management,93904
1311,ITQ20210145,ITQ,Bureau of Urban Development and Infrastructure,Renovation and remodeling project management.,2021-08-22,GreenCrest Facilities Group,75182
1312,ITQ20210146,ITQ,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-08-22,FreshTech Management,87741
1313,ITQ20210147,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2021-08-23,EverReach Property Care,61040
1314,ITQ20210148,ITQ,Department of Advanced Technological Research,Building maintenance and repairs.,2021-08-24,AlphaWave Property Solutions,19428
1315,ITQ20210149,ITQ,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2021-08-28,GrandEdge Property Solutions,52298
1316,SVP20210150,SVP,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,2021-08-29,InfiniteGuard Building Care,9407
1317,ITQ20210151,ITQ,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-08-30,HighTech Facilities Group,50900
1318,ITQ20210152,ITQ,Department of Public Health and Disease Control,Comprehensive janitorial services and cleanliness maintenance.,2021-08-31,SilverTech Facilities Masters,55796
1319,ITQ20210153,ITQ,Department of Public Health and Disease Control,24/7 security and access control management.,2021-09-01,SwiftSail Building Solutions,62377
1320,ITQ20210154,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2021-09-06,EverPrime Property Management,68859
1321,ITQ20210155,ITQ,Department of Public Health and Disease Control,Cleaning supplies and consumables procurement and management.,2021-09-07,ApexGuard Facility Services,38580
1322,ITQ20210156,ITQ,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2021-09-10,EliteCare Facility Support,34934
1323,ITQ20210157,ITQ,Bureau of National Security and Intelligence,Furniture and equipment maintenance and inventory tracking.,2021-09-10,UrbanTech Management,40061
1324,ITQ20210158,ITQ,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,2021-09-10,Xtreme Maintenance,63809
1325,ITQ20210159,ITQ,Department of Public Health and Disease Control,Building maintenance and repairs.,2021-09-10,TrueNorth Facility Solutions,64546
1326,ITQ20210160,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-09-10,BlueBreeze Facility Solutions,70083
1327,ITQ20210161,ITQ,National Commission for Space Exploration,Building automation and smart technology integration.,2021-09-10,SecureSpace Management,74120
1328,ITQ20210162,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient systems and consumption monitoring.,2021-09-12,SecureReach Property Care,17337
1329,ITQ20210163,ITQ,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,2021-09-12,InfiniteSpace Building Solutions,60876
1330,ITQ20210164,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2021-09-13,ApexGuard Facility Services,79837
1331,ITQ20210165,ITQ,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,2021-09-20,InfiniteSpace Building Solutions,35537
1332,ITQ20210166,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2021-09-24,UnitedPro Property Services,97970
1333,ITQ20210167,ITQ,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,2021-09-26,GrandReach Facility Care,75604
1334,ITQ20210168,ITQ,Department of Advanced Technological Research,Space planning and utilization optimization strategies.,2021-10-02,SkyQuest Facility Care,17855
1335,ITQ20210169,ITQ,Bureau of Urban Development and Infrastructure,Cleaning supplies and consumables procurement and management.,2021-10-03,GoldenHarbor Management,40195
1336,ITQ20210170,ITQ,Commission for Ethical Governance,Health and safety compliance management and training.,2021-10-03,CleanHarbor Facility Care,94878
1337,ITQ20210171,ITQ,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,2021-10-04,FreshStart Building Solutions,78847
1338,ITQ20210172,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2021-10-10,ApexGuard Facility Services,77218
1339,ITQ20210173,ITQ,Federal Agency for Environmental Protection,Expert landscaping and groundskeeping solutions.,2021-10-17,EliteTech Property Support,65553
1340,ITQ20210174,ITQ,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-10-23,TrustMax Facilities Masters,42384
1341,ITQ20210175,ITQ,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2021-10-29,InfiniteCare Property Services,19412
1342,ITQ20210176,ITQ,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2021-10-29,EverGreen Property Support,34654
1343,ITQ20210177,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2021-10-30,InfinitePro Facility Care,98280
1344,ITQ20210178,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2021-10-31,GreenWave Facilities Management,67890
1345,ITQ20210179,ITQ,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,2021-11-01,EverReach Property Care,56823
1346,ITQ20210180,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2021-11-03,GoldenHarbor Management,88237
1347,ITQ20210181,ITQ,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,2021-11-04,EverPrime Property Management,19436
1348,ITQ20210182,ITQ,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-11-04,InfiniteCare Property Services,40975
1349,ITQ20210183,ITQ,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2021-11-05,ApexGuard Facility Services,67299
1350,ITQ20210184,ITQ,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,2021-11-06,SafeHaven Maintenance,90427
1351,ITQ20210185,ITQ,Ministry of Strategic Economic Planning,24/7 security and access control management.,2021-11-07,InfiniteTech Building Solutions,77035
1352,ITQ20210186,ITQ,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,2021-11-10,AlphaTech Facilities Management,47686
1353,ITQ20210187,ITQ,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,2021-11-10,Reliable Facility Services,62310
1354,ITQ20210188,ITQ,Commission for Ethical Governance,Building maintenance and repairs.,2021-11-12,EliteEdge Facilities Group,11714
1355,ITQ20210189,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2021-11-14,Reliable Facility Services,62509
1356,ITQ20210190,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2021-11-18,EverPrime Property Management,31052
1357,ITQ20210191,ITQ,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,2021-11-20,GreenCrest Facilities Group,50549
1358,ITQ20210192,ITQ,Commission for Ethical Governance,Building automation and smart technology integration.,2021-11-20,InfiniteGuard Building Care,60953
1359,ITQ20210193,ITQ,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2021-11-21,SwiftSail Building Solutions,49378
1360,ITQ20210194,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2021-11-21,EverPro Property Support,75160
1361,ITQ20210195,ITQ,Bureau of National Security and Intelligence,Renovation and remodeling project management.,2021-11-22,SilverTech Facilities Masters,63982
1362,ITQ20210196,ITQ,Department of Public Health and Disease Control,Pest control services for a pest-free environment.,2021-11-26,HighPoint Property Care,51277
1363,ITQ20210197,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2021-11-26,SafeHarbor Facilities Group,89003
1364,ITQ20210198,ITQ,Department of Advanced Technological Research,Parking management and traffic control solutions.,2021-11-27,InfiniteCare Property Services,87164
1365,ITQ20210199,ITQ,Bureau of Urban Development and Infrastructure,Space planning and utilization optimization strategies.,2021-11-28,BlueBreeze Facility Solutions,83933
1366,ITQ20210200,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-11-30,SwiftGuard Management,86252
1367,ITQ20210201,ITQ,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2021-12-03,SafeReach Property Solutions,32746
1368,ITQ20210202,ITQ,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,2021-12-03,GreenPrime Facilities Group,34990
1369,ITQ20210203,ITQ,Federal Agency for Environmental Protection,Building maintenance and repairs.,2021-12-06,UrbanReach Facility Support,99195
1370,ITQ20210204,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2021-12-10,BlueCrest Facility Support,82319
1371,ITQ20210205,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2021-12-11,SecureTech Building Solutions,18105
1372,ITQ20210206,ITQ,National Institute of Scientific Advancement,Comprehensive janitorial services and cleanliness maintenance.,2021-12-13,HorizonView Property Management,66203
1373,ITQ20210207,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,2021-12-14,FreshWave Property Support,21921
1374,ITQ20210208,ITQ,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,2021-12-16,SilverTech Facilities Masters,37306
1375,ITQ20210209,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2021-12-16,EliteCare Facility Support,86974
1376,ITQ20210210,ITQ,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,2021-12-17,GreenWave Facilities Management,81256
1377,ITQ20210211,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2021-12-26,GreenLine Building Experts,62306
1378,ITQ20210212,ITQ,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2021-12-28,UrbanGuard Facilities,41994
1379,ITQ20210213,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2021-12-30,GreenLine Building Experts,77961
1380,ITQ20220001,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,2022-01-05,InfiniteCare Property Services,85396
1381,ITQ20220002,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2022-01-05,EverPro Property Support,92463
1382,ITQ20220003,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2022-01-08,EverReach Property Care,55791
1383,ITQ20220004,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2022-01-09,SilverTech Facilities Masters,47866
1384,ITQ20220005,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2022-01-22,Reliable Facility Services,73213
1385,ITQ20220006,ITQ,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,2022-01-25,GrandEdge Property Solutions,65950
1386,ITQ20220007,ITQ,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,2022-01-28,TrustMax Facilities Masters,23996
1387,ITQ20220008,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2022-01-31,ApexGuard Facility Services,78624
1388,ITQ20220009,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2022-02-01,GreenLine Building Experts,89884
1389,ITQ20220010,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,2022-02-02,GoldenHarbor Management,60155
1390,ITQ20220011,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2022-02-04,UnitedPro Property Services,16372
1391,ITQ20220012,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2022-02-04,TrustEdge Building Maintenance,81588
1392,SVP20220013,SVP,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,2022-02-07,SecureReach Property Care,8069
1393,ITQ20220014,ITQ,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2022-02-11,BlueSail Property Experts,33434
1394,ITQ20220015,ITQ,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,2022-02-11,MaxPro Building Services,77989
1395,ITQ20220016,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,2022-02-17,EverPrime Property Management,38977
1396,ITQ20220017,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,2022-02-18,SwiftSail Building Solutions,87362
1397,ITQ20220018,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2022-02-21,SkyStone Property Solutions,23135
1398,ITQ20220019,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2022-02-22,GreenLine Building Experts,73419
1399,ITQ20220020,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2022-02-26,StarStone Facility Services,32212
1400,ITQ20220021,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2022-02-27,CleanSweep Property Management,64888
1401,ITQ20220022,ITQ,National Institute of Scientific Advancement,24/7 security and access control management.,2022-03-03,SilverTech Facilities Masters,85104
1402,ITQ20220023,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2022-03-07,EliteCare Facility Support,99398
1403,ITQ20220024,ITQ,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,2022-03-08,SecureSpace Management,33999
1404,ITQ20220025,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2022-03-15,InfiniteGuard Building Care,97033
1405,ITQ20220026,ITQ,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,2022-03-16,StarStone Facility Services,33526
1406,ITQ20220027,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2022-03-16,StarStone Facility Services,67682
1407,ITQ20220028,ITQ,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2022-03-19,GrandPro Facilities Support,82329
1408,ITQ20220029,ITQ,Department of Advanced Technological Research,Health and safety compliance management and training.,2022-03-20,FreshWave Property Support,91116
1409,ITQ20220030,ITQ,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,2022-03-21,FreshWave Property Support,44709
1410,ITQ20220031,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2022-03-21,SwiftCrest Property Management,66635
1411,ITQ20220032,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2022-03-25,HorizonStone Facility Services,72760
1412,ITQ20220033,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,2022-03-27,InfiniteGuard Building Care,50320
1413,ITQ20220034,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2022-04-11,SkyHarbor Facility Experts,66119
1414,ITQ20220035,ITQ,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,2022-04-11,GreenWave Facilities Management,90388
1415,ITQ20220036,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,2022-04-15,EliteCare Facility Support,61082
1416,ITQ20220037,ITQ,Bureau of National Security and Intelligence,Space planning and utilization optimization strategies.,2022-04-21,ApexGuard Facility Services,65328
1417,ITQ20220038,ITQ,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,2022-04-30,UrbanEagle Maintenance,77216
1418,ITQ20220039,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2022-05-06,GreenPrime Facilities Group,44036
1419,ITQ20220040,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient systems and consumption monitoring.,2022-05-27,CleanReach Facility Experts,21935
1420,ITQ20220041,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2022-05-27,InfiniteGuard Building Care,55125
1421,ITQ20220042,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2022-06-05,Reliable Facility Services,38694
1422,ITQ20220043,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2022-06-25,TrustPro Building Maintenance,38822
1423,ITQ20220044,ITQ,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,2022-06-26,GreenCrest Facilities Group,47703
1424,ITQ20220045,ITQ,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2022-07-01,SafeReach Property Solutions,42173
1425,ITQ20220046,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,2022-07-10,SwiftSail Building Solutions,71420
